"7","SPORC Brigade Kalaweit","Satuan Polisi Hutan Reaksi Cepat (SPORC) Rapid Reaction Forest Police Indonesia","1"
"10","Wildlife Rapid Rescue Team (WRRT)","Wildlife Alliance","1"
"11","Wildlife Alliance","","1"
"17","Philippines Bureau of Customs HQ","Phillipines Bureau of Customs","1"
"18","Philippines Bureau of Customs Intelligence Group","Phillipines Bureau of Customs","1"
"19","Philippines Bureau of Customs Enforcement Group","Phillipines Bureau of Customs","1"
"20","Royal Thai Police Natural Resources and Environmental Crime Suppression Division (NRECD)","Royal Thai Police","1"
"21","Phnom Tamao Wildlife Rescue Center","Cambodian Forestry Administration","1"
"23","Tat Kuang Si Bear Rescue Centre","N/A","1"
"66","Freeland ","","1"
"70","DNP Veterinary Clinic (Central)","Thai Department of National Parks, Wildlife & Plant Conservation (DNP)","1"
"71","ASEAN-WEN Program Coordination Unit","ASEAN Wildlife Enforcement Network","1"
"72","Education for Nature Vietnam ENV","Not applicable","1"
"73","ACRES Singapore Animal Concerns Research & Education Society ","Not applicable","1"
"74","ACRES Lao PDR Animal Concerns Research & Education Society ","Not applicable","0"
"75","Free the Bears Cambodia","","1"
"92","Mr. Haji Ajamain bin Haji Sawal","Brunei Darussalam Wildlife Division, Ministry of Industry and Promary Resources","1"
"93","Mr. Haji Muhammad Faisal bin Haji Nordin","Wildlife Division, Ministry of Industry and Promary Resources","1"
"94","Mr. Reni Haji Yahya","Forestry Deprtment, Ministry of Industry and Primary Resources","1"
"95","Hj Amran Hj Ibrahim","Royal Customs and Excise Department Headquarters, Ministry of Finance, Brunei Darussalam","1"
"96","PG. Hj. Zamani PG HJ Ahmad","Royal Brunei Police Force Headquarters","1"
"97","His Excellency Tim Sipha","Department of Legislation and Enforcement, Forestry Administration Ministry of Agriculture, Forestry","1"
"98","Mr. Suon Sovann","Department of Legislation and Enforcement, Forestry Administration Ministry of Agriculture, Forestry","1"
"99","Mr. Em Khin Vorac","Cambodian Customs and Excise","1"
"100","Lt. Col. Suon Nara","Anti-Crime Police Department","1"
"101","Mr. Sonny Partono","Ministry of Forestry, Indonesia","1"
"102","Ms. Exploitasia Semiawan","Ministry of Forestry, Indonesia","1"
"103","Mr. Ardi Risman","Directorate of Investigation and Forest Protection","1"
"104","Mr. Hatta Wardhana","Indonesia Customs","1"
"108","Mr. Phonesavanh Sophakhamphanh","Aquatic and Wildlife Inspections Division, Department of Forest Inspection, Ministry of Agriculture ","1"
"109","Mr. Bouaphanh Phanthavong","Division of Forest Resources Conservation, Department of Forestry, Ministry of Natural Resources and","1"
"110","Mr. Bounma Hemmavanh","Anti-Smuggling Division, Department of Customs","1"
"111","Mr. Anousinh Sakpraseuth","Department of Economic Police, Ministry of Public Security","1"
"113","Mr. Simon David","Biodiversity and Forestry Management Division, Ministry of Natural Resources and Environment","1"
"114","Ms. Habsah Harun","Royal Malaysian Customs","1"
"115","Superintendent Gan Tack Guan","Royal Malaysian Police","1"
"117","Mr. Noor Alif Wira Bin Osman","Department of Wildlife and National Parks, Peninsular Malaysia","1"
"118","Madam Wan Normah Wan Ismail","Plant Quarantine and Protection Division, Department of Agriculture","1"
"119","Mr. Ho Haw Leng","Plant Quarantine and Protection Division, Department of Agriculture","1"
"120","Mr. Ahmad Hazizi Bin Aziz","Fisheries Biosecurity Division, Department of Fisheries","1"
"121","Mr. Abdullah Bin Md. Dan","Fisheries Biosecurity Division, Department of Fisheries","1"
"122","Madam Hajah Norchahaya Binti Hashim","Licensing and Enforcement Division, Malaysian Timber Industry Board","1"
"123","Mr. Zulkepli Bin Abd Rani","Licensing and Enforcement Division, Malaysian Timber Industry Board","1"
"124","Mr. Engkamat Lading","Sarawak Forest Department","1"
"125","Mr. Mohamad Bin Kombi Khodi","Sarawak Forest Department","1"
"126","Mr. Abdul Karim Dakog","Sabah Wildlife Department","1"
"127","Mr. Silvester Saimin","Sabah Wildlife Department","1"
"128","Mr. Augustine Tuuga","Sabah Wildlife Department","1"
"129","Mr. Lawerence Kissol","Sabah Wildlife Department","1"
"130","U Nyi Nyi Kyaw Ph.D","Forest Department, Ministry of Environmental Conservation and Forestry","1"
"131","U Win Naing Thaw","Nature and Wildlife Conservation Division,Forest Department, Ministry of Environmental Conservation ","1"
"132","U Htin Paw","Customs Department","1"
"133","U Khin Zaw","Trade Department","1"
"134","U Kyaw Zan","General Administrative Department","1"
"135","Pol. Lt. Col. Kyaw Win Thein","Myanmar Police Force","1"
"136","U Khin Maung Oo","Attorney General Office","1"
"137","Department of Environment and Natural Resources (DENR) ","Department of Environment and Natural Resources Philippines","1"
"138","Dr. Theresa Mundita Lim","Protected Areas and Wildlife Bureau (PAWB)","1"
"139","Ms Josefina L de Leon","Protected Areas and Wildlife Bureau (PAWB)","1"
"140","Atty. Asis G Perez","Bureau of Fisheries and Aquatic Resources (BFAR)","1"
"141","Mr. Edwin B Alesna","Bureau of Fisheries and Aquatic Resources (BFAR)","1"
"142","Major Nicomedes Petallo Enad","Bureau of Customs Philippines","1"
"143","Head Agent Sixto O. Comia","Environment and WIldlife Protection Investigation Division (EAWPID) National Bureau of Investigation","1"
"144","Atty. Reynaldo Remo","Environment and Wildlife Protection Investigation Division EAWPID National Bureau of Investigation N","1"
"145","Special Investigator 3 Gregory Yu","Environment and WIldlife Protection Investigation Division (EAWPID) National Bureau of Investigation","1"
"146","Mr. Gerald Neo","Agri-Food and Veterinary (AVA)","1"
"147","Mr. Alex Chin","Immigration and Checkpoints Authority of Singapore (ICA)","1"
"148","Mae Chan Wildlife Facilitating Center","Department of National Park, Wildlife and Plant Conservation Thailand","1"
"149","Chulaporn Wildlife Facilitating Center","Department of National Park, Wildlife and Plant Conservation Thailand","1"
"150","Bang Phra Wildlife and Water Bird Faciliating Center","Department of National Park, Wildlife and Plant Conservation Thailand","1"
"151","Krabok Ku Wildlife Facilitating Center","Department of National Park, Wildlife and Plant Conservation Thailand","1"
"152","Chong Klambon Wildlife Facilating Center","Department of National Park, Wildlife and Plant Conservation Thailand","1"
"153","Doi Tung Wildlife Facilitating Center","Department of National Park, Wildlife and Plant Conservation Thailand","1"
"155","Bang Lamung Wildlife Facilitating Center","Department of National Park, Wildlife and Plant Conservation Thailand","1"
"156","Pang Tong Wildlife Facilitating Center","Department of National Park, Wildlife and Plant Conservation Thailand","1"
"157","Phang Nga Wildlife Facilitating Center","Department of National Park, Wildlife and Plant Conservation Thailand","1"
"158","Pathalung Wildlife Facilitating Center","Department of National Park, Wildlife and Plant Conservation Thailand","1"
"159","Phu Kieaw Wildlife Facilitating Center","Department of National Park, Wildlife and Plant Conservation Thailand","1"
"160","Huey Kha Keng Wildlife Facilitating Center","Department of National Park, Wildlife and Plant Conservation Thailand","1"
